MODE,JOB_ID,WORKERS,FILE,ALGO,TAU,SIGMA,BETA,NUMPARTITIONS,VERTICES,REAL EDGES, VIRTUAL EDGES,Time,Sampling Time,Total LP,Score,Migrations,R MaxNorm unbalance,V MaxNorm unbalance,Vertex MaxNorm unbalance,#real EC,#real EC (%%),#virtual EC,#virtual EC (%%),Vertex Balance JSD,Real Edge Balance JSD,Virtual Edge Balance JSD
Edge,job_202101261615_0530,8,RoadCanada.vertex,InitializeSampleRD,10,0.015,0.15,8,1965206,5533214,5533214,43428,6374,36497,1115855.3146185167,4965141,1.012,1.012,1.011,2437695,0.441,2437695,0.441,0.000008,0.000011,0.000011
Edge,job_202101261615_0315,8,Youtube.vertex,InitializeSampleRD,10,0.015,0.2,16,1134890,2987624,5975248,29365,3639,25241,802804.8261299726,2342605,1.063,1.049,1.480,1519470,0.509,3026674,0.507,0.028767,0.000163,0.000382
Edge,job_202101261615_0460,8,Youtube.vertex,InitializeSampleGD,15,0.02,0.15,4,1134890,2987624,5975248,19555,3054,14657,832911.3897283153,2026499,1.031,1.025,1.215,852141,0.285,1707138,0.286,0.007255,0.000069,0.000049
Edge,job_202101261615_0616,8,RoadCanada.vertex,InitializeSampleHD,5,0.02,0.15,4,1965206,5533214,5533214,23243,2259,18726,1166708.3203015286,3751412,1.006,1.006,1.006,2312217,0.418,2312217,0.418,0.000004,0.000003,0.000003
Edge,job_202101261615_0518,8,RoadCanada.vertex,InitializeSampleRD,5,0.01,0.15,8,1965206,5533214,5533214,43306,3552,39267,1123461.0303320903,5154161,1.011,1.011,1.012,2418967,0.437,2418967,0.437,0.000005,0.000006,0.000006
Edge,job_202101261615_0298,8,Youtube.vertex,InitializeSampleRD,15,0.02,0.15,4,1134890,2987624,5975248,19698,3322,15866,847835.9432379229,2021811,1.027,1.015,1.128,928338,0.311,1850756,0.310,0.001103,0.000067,0.000023
Edge,job_202101261615_0502,8,RoadCanada.vertex,InitializeSampleRD,10,0.015,0.1,4,1965206,5533214,5533214,23733,2963,20217,1165864.562492979,3889226,1.006,1.006,1.006,2316022,0.419,2316022,0.419,0.000002,0.000003,0.000003
Edge,job_202101261615_0553,8,RoadCanada.vertex,InitializeSampleRD,5,0.015,0.2,4,1965206,5533214,5533214,25242,4109,20584,1180662.961380129,3967478,1.005,1.005,1.008,2272250,0.411,2272250,0.411,0.000010,0.000003,0.000003
Edge,job_202101261615_0599,8,RoadCanada.vertex,InitializeSampleHD,5,0.01,0.15,8,1965206,5533214,5533214,43492,2921,38064,1117073.6649685244,5120951,1.012,1.012,1.015,2433439,0.440,2433439,0.440,0.000021,0.000011,0.000011
Edge,job_202101261615_0512,8,RoadCanada.vertex,InitializeSampleRD,10,0.02,0.1,8,1965206,5533214,5533214,43141,3346,39225,1121958.5855391119,5165769,1.013,1.013,1.012,2416950,0.437,2416950,0.437,0.000010,0.000010,0.000010
Edge,job_202101261615_0551,8,RoadCanada.vertex,InitializeSampleRD,15,0.01,0.2,8,1965206,5533214,5533214,39896,3832,35517,1116122.7545392052,4752630,1.013,1.013,1.013,2438594,0.441,2438594,0.441,0.000012,0.000009,0.000009
Edge,job_202101261615_0524,8,RoadCanada.vertex,InitializeSampleRD,15,0.01,0.15,8,1965206,5533214,5533214,41507,3399,37526,1111902.38455587,4929596,1.011,1.011,1.014,2451472,0.443,2451472,0.443,0.000016,0.000010,0.000010
Edge,job_202101261615_0262,8,Youtube.vertex,InitializeSampleRD,15,0.015,0.1,4,1134890,2987624,5975248,18593,3497,14648,835045.1821091274,1887567,1.012,1.021,1.134,811301,0.272,1621406,0.271,0.001563,0.000022,0.000071
Edge,job_202101261615_0663,8,RoadCanada.vertex,InitializeSampleGD,5,0.015,0.1,16,1965206,5533214,5533214,78561,3281,72799,1100690.49768127,5984427,1.018,1.018,1.014,2490454,0.450,2490454,0.450,0.000014,0.000023,0.000023
Edge,job_202101261615_0705,8,RoadCanada.vertex,InitializeSampleGD,15,0.02,0.15,16,1965206,5533214,5533214,79479,2940,74080,1098832.7427450928,5872431,1.018,1.018,1.018,2494920,0.451,2494920,0.451,0.000015,0.000024,0.000024
Edge,job_202101261615_0534,8,RoadCanada.vertex,InitializeSampleRD,15,0.015,0.15,16,1965206,5533214,5533214,72555,3240,68664,1089271.0987143754,5612487,1.015,1.015,1.016,2520253,0.455,2520253,0.455,0.000015,0.000020,0.000020
