MODE,JOB_ID,WORKERS,FILE,ALGO,TAU,SIGMA,BETA,NUMPARTITIONS,VERTICES,REAL EDGES, VIRTUAL EDGES,Time,Sampling Time,Total LP,Score,Migrations,R MaxNorm unbalance,V MaxNorm unbalance,Vertex MaxNorm unbalance,#real EC,#real EC (%%),#virtual EC,#virtual EC (%%),Vertex Balance JSD,Real Edge Balance JSD,Virtual Edge Balance JSD
Edge,job_202102222248_0477,8,RoadItaly.vertex,InitializeSampleCC,10,0.015,0.1,16,6686493,7013978,14027956,136328,15739,117318,2035303.5084280951,10173385,1.010,1.011,1.007,5079451,0.724,10158713,0.724,0.000004,0.000004,0.000004
Edge,job_202102222248_0439,8,RoadItaly.vertex,InitializeSampleCC,15,0.01,0.1,4,6686493,7013978,14027956,47640,14787,29744,3014483.1862797444,8024242,1.002,1.001,1.003,4113920,0.587,8227542,0.587,0.000001,0.000001,0.000000
Edge,job_202102222248_0696,8,RoadItaly.vertex,InitializeSampleCC,10,0.01,0.2,8,6686493,7013978,14027956,76923,14325,58829,2335308.5335387215,8639649,1.003,1.005,1.005,4808686,0.686,9617320,0.686,0.000002,0.000001,0.000001
Edge,job_202102221335_0191,8,RoadCanada.vertex,InitializeSampleCC,5,0.015,0.15,8,1965206,5533214,5533214,42534,4874,35989,1103225.0431579817,4792624,1.013,1.013,1.015,2474940,0.447,2474940,0.447,0.000009,0.000010,0.000010
Edge,job_202102221335_0117,8,RoadCanada.vertex,InitializeSampleCC,10,0.02,0.1,16,1965206,5533214,5533214,82122,4774,75719,1093526.1134125795,5903671,1.017,1.017,1.021,2506869,0.453,2506869,0.453,0.000015,0.000019,0.000019
Edge,job_202102221335_0118,8,RoadCanada.vertex,InitializeSampleCC,10,0.02,0.1,16,1965206,5533214,5533214,77808,4133,71983,1091222.2519685756,5747752,1.018,1.018,1.019,2513587,0.454,2513587,0.454,0.000021,0.000022,0.000022
Edge,job_202102221335_0210,8,RoadCanada.vertex,InitializeSampleCC,10,0.015,0.15,16,1965206,5533214,5533214,77757,4997,71131,1082011.5836184141,5733565,1.016,1.016,1.016,2539155,0.459,2539155,0.459,0.000023,0.000018,0.000018
Edge,job_202102222248_0420,8,RoadItaly.vertex,InitializeSampleCC,5,0.01,0.1,16,6686493,7013978,14027956,142417,11341,127108,1947769.665309062,10152803,1.009,1.010,1.006,5173290,0.738,10345772,0.738,0.000003,0.000005,0.000006
Edge,job_202102222248_0301,8,Youtube.vertex,InitializeSampleCC,15,0.01,0.2,4,1134890,2987624,5975248,93749,11018,19220,869585.3825997822,1982130,1.050,1.044,1.141,808771,0.271,1615895,0.270,0.003558,0.000146,0.000182
Edge,job_202102222248_0761,8,RoadItaly.vertex,InitializeSampleCC,15,0.015,0.2,16,6686493,7013978,14027956,141046,15128,122263,2017464.7009571479,9983681,1.005,1.006,1.007,5103218,0.728,10206138,0.728,0.000006,0.000002,0.000002
Edge,job_202102222248_0080,8,Youtube.vertex,InitializeSampleCC,15,0.015,0.1,4,1134890,2987624,5975248,89671,10704,15010,819302.2008065048,1865626,1.038,1.012,1.090,942110,0.315,1881553,0.315,0.002417,0.000091,0.000015
Edge,job_202102222248_0808,8,RoadItaly.vertex,InitializeSampleCC,15,0.02,0.2,16,6686493,7013978,14027956,147318,11487,131747,2023549.9728759367,10216662,1.003,1.005,1.006,5096157,0.727,10193210,0.727,0.000003,0.000001,0.000001
Edge,job_202102221335_0111,8,RoadCanada.vertex,InitializeSampleCC,10,0.02,0.1,4,1965206,5533214,5533214,25593,4276,19774,1164507.9216017441,3765137,1.005,1.005,1.003,2316419,0.419,2316419,0.419,0.000002,0.000003,0.000003
Edge,job_202102221335_0260,8,RoadCanada.vertex,InitializeSampleCC,15,0.02,0.15,4,1965206,5533214,5533214,27890,5920,20380,1163598.288205606,3734597,1.005,1.005,1.007,2327373,0.421,2327373,0.421,0.000005,0.000002,0.000002
Edge,job_202102222248_0338,8,Youtube.vertex,InitializeSampleCC,10,0.015,0.2,8,1134890,2987624,5975248,95879,11178,20790,802117.6928196509,2296480,1.045,1.032,1.297,1184713,0.397,2364378,0.396,0.015961,0.000157,0.000100
Edge,job_202102222248_0556,8,RoadItaly.vertex,InitializeSampleCC,10,0.01,0.15,4,6686493,7013978,14027956,51301,14411,33147,3080289.1878385306,7885281,1.004,1.003,1.002,4045197,0.577,8090007,0.577,0.000001,0.000001,0.000000
Edge,job_202102221335_0005,8,RoadCanada.vertex,InitializeSampleCC,5,0.01,0.1,4,1965206,5533214,5533214,26869,5864,19532,1160837.279047635,3742884,1.005,1.005,1.006,2334436,0.422,2334436,0.422,0.000004,0.000002,0.000002
Edge,job_202102222248_0234,8,Youtube.vertex,InitializeSampleCC,5,0.02,0.15,8,1134890,2987624,5975248,97633,10405,24654,826040.6531487578,2356212,1.045,1.072,1.378,1147888,0.384,2294108,0.384,0.022538,0.000271,0.000261
Edge,job_202102222248_0473,8,RoadItaly.vertex,InitializeSampleCC,10,0.015,0.1,8,6686493,7013978,14027956,79127,11924,63990,2323731.6529387394,9071089,1.003,1.003,1.007,4804156,0.685,9608533,0.685,0.000003,0.000001,0.000001
Edge,job_202102222248_0415,8,RoadItaly.vertex,InitializeSampleCC,5,0.01,0.1,8,6686493,7013978,14027956,84064,12649,67894,2311586.9663351905,9242878,1.005,1.004,1.009,4819123,0.687,9637003,0.687,0.000006,0.000002,0.000001
Edge,job_202102222248_0432,8,RoadItaly.vertex,InitializeSampleCC,10,0.01,0.1,16,6686493,7013978,14027956,144755,12124,129092,1974327.7766222302,10363045,1.005,1.007,1.007,5139086,0.733,10278030,0.733,0.000005,0.000003,0.000003
Edge,job_202102222248_0329,8,Youtube.vertex,InitializeSampleCC,5,0.015,0.2,16,1134890,2987624,5975248,96408,10988,20629,782933.1839382639,2299078,1.078,1.084,1.466,1629486,0.545,3247265,0.543,0.031481,0.000279,0.001017
Edge,job_202102221335_0105,8,RoadCanada.vertex,InitializeSampleCC,5,0.02,0.1,16,1965206,5533214,5533214,82109,4335,76124,1093823.5816662183,5912691,1.017,1.017,1.022,2506759,0.453,2506759,0.453,0.000019,0.000020,0.000020
Edge,job_202102222248_0681,8,RoadItaly.vertex,InitializeSampleCC,5,0.01,0.2,8,6686493,7013978,14027956,86100,16404,66146,2411967.5402959334,9008724,1.004,1.004,1.006,4721303,0.673,9441725,0.673,0.000006,0.000002,0.000001
Edge,job_202102222248_0710,8,RoadItaly.vertex,InitializeSampleCC,15,0.01,0.2,4,6686493,7013978,14027956,55835,15138,37005,3090960.6441135663,7804754,1.001,1.002,1.002,4042568,0.576,8085260,0.576,0.000000,0.000000,0.000000
Edge,job_202102222248_0279,8,Youtube.vertex,InitializeSampleCC,5,0.01,0.2,8,1134890,2987624,5975248,92370,10500,22632,811038.2400180084,2231790,1.042,1.042,1.326,1173573,0.393,2333555,0.391,0.017278,0.000165,0.000148
Edge,job_202102221335_0369,8,RoadCanada.vertex,InitializeSampleCC,5,0.02,0.2,8,1965206,5533214,5533214,43387,5576,36350,1106482.3867775036,4765889,1.012,1.012,1.011,2460839,0.445,2460839,0.445,0.000023,0.000010,0.000010
Edge,job_202102222248_0379,8,Youtube.vertex,InitializeSampleCC,10,0.02,0.2,4,1134890,2987624,5975248,90615,10793,15658,842115.4051129443,1836494,1.048,1.020,1.142,940489,0.315,1878929,0.314,0.004314,0.000154,0.000097
Edge,job_202102222248_0310,8,Youtube.vertex,InitializeSampleCC,15,0.01,0.2,8,1134890,2987624,5975248,97568,10618,22251,829964.1837175209,2281025,1.051,1.039,1.409,1186602,0.397,2372862,0.397,0.027674,0.000377,0.000149
Edge,job_202102221335_0268,8,RoadCanada.vertex,InitializeSampleCC,15,0.02,0.15,16,1965206,5533214,5533214,77685,4787,71330,1083079.5320945492,5729598,1.019,1.019,1.016,2538019,0.459,2538019,0.459,0.000014,0.000020,0.000020
Edge,job_202102222248_0370,8,Youtube.vertex,InitializeSampleCC,5,0.02,0.2,8,1134890,2987624,5975248,93163,11396,19617,752005.3681787673,2150973,1.046,1.047,1.342,1286499,0.431,2561171,0.429,0.015356,0.000222,0.000342
Edge,job_202102222248_0105,8,Youtube.vertex,InitializeSampleCC,5,0.02,0.1,16,1134890,2987624,5975248,113963,10650,39575,837187.4795072118,2583915,1.056,1.083,1.563,1319609,0.442,2640004,0.442,0.025059,0.000594,0.000924
Edge,job_202102222248_0589,8,RoadItaly.vertex,InitializeSampleCC,5,0.015,0.15,4,6686493,7013978,14027956,52408,12697,36295,3061309.1192644667,7792565,1.001,1.001,1.002,4078336,0.581,8156335,0.581,0.000001,0.000000,0.000000
Edge,job_202102221335_0033,8,RoadCanada.vertex,InitializeSampleCC,15,0.01,0.1,4,1965206,5533214,5533214,28698,5140,21971,1168476.9855072126,4010543,1.007,1.007,1.009,2302905,0.416,2302905,0.416,0.000006,0.000005,0.000005
Edge,job_202102222248_0402,8,Youtube.vertex,InitializeSampleCC,15,0.02,0.2,16,1134890,2987624,5975248,93376,11209,24496,789194.306936369,2259974,1.033,1.055,1.500,1541962,0.516,3066418,0.513,0.027260,0.000079,0.000528
Edge,job_202102222248_0625,8,RoadItaly.vertex,InitializeSampleCC,15,0.015,0.15,8,6686493,7013978,14027956,76939,13729,59779,2366113.19805576,8779944,1.003,1.003,1.003,4772886,0.680,9546316,0.681,0.000001,0.000001,0.000001
Edge,job_202102222248_0698,8,RoadItaly.vertex,InitializeSampleCC,10,0.01,0.2,8,6686493,7013978,14027956,79118,16115,59740,2356987.3337367414,8634386,1.004,1.005,1.003,4787349,0.683,9574011,0.682,0.000001,0.000002,0.000002
Edge,job_202102222248_0203,8,Youtube.vertex,InitializeSampleCC,10,0.015,0.15,8,1134890,2987624,5975248,92841,10316,19159,849580.354920134,2260200,1.043,1.035,1.398,1186235,0.397,2368792,0.396,0.021244,0.000149,0.000215
Edge,job_202102222248_0199,8,Youtube.vertex,InitializeSampleCC,10,0.015,0.15,4,1134890,2987624,5975248,92162,10709,16109,850302.1560264353,1959692,1.037,1.028,1.399,849225,0.284,1695646,0.284,0.012424,0.000185,0.000205
Edge,job_202102222248_0250,8,Youtube.vertex,InitializeSampleCC,10,0.02,0.15,8,1134890,2987624,5975248,95821,9902,20841,783518.1046352506,2211597,1.045,1.068,1.479,1250225,0.418,2494710,0.418,0.017069,0.000217,0.000242
Edge,job_202102222248_0122,8,Youtube.vertex,InitializeSampleCC,15,0.02,0.1,4,1134890,2987624,5975248,83443,11331,14181,830780.6716088727,1923125,1.005,1.024,1.070,875222,0.293,1742368,0.292,0.000520,0.000003,0.000137
Edge,job_202102222248_0727,8,RoadItaly.vertex,InitializeSampleCC,5,0.015,0.2,8,6686493,7013978,14027956,76511,14914,57920,2376948.1704808185,8684126,1.004,1.005,1.005,4757312,0.678,9514705,0.678,0.000001,0.000002,0.000002
Edge,job_202102221335_0201,8,RoadCanada.vertex,InitializeSampleCC,10,0.015,0.15,4,1965206,5533214,5533214,27523,4828,21156,1166474.7523659822,3849244,1.008,1.008,1.006,2314420,0.418,2314420,0.418,0.000003,0.000005,0.000005
Edge,job_202102222248_0657,8,RoadItaly.vertex,InitializeSampleCC,10,0.02,0.15,16,6686493,7013978,14027956,138781,10878,123899,1997073.8899991591,10128803,1.004,1.005,1.006,5120723,0.730,10241723,0.730,0.000003,0.000001,0.000001
Edge,job_202102222248_0108,8,Youtube.vertex,InitializeSampleCC,10,0.02,0.1,4,1134890,2987624,5975248,86642,10974,15192,828860.7710317456,1953725,1.018,1.029,1.202,878310,0.294,1753273,0.293,0.005760,0.000043,0.000104
Edge,job_202102222248_0107,8,Youtube.vertex,InitializeSampleCC,10,0.02,0.1,4,1134890,2987624,5975248,87718,10516,18035,843906.8063582864,2079597,1.039,1.040,1.065,812858,0.272,1625549,0.272,0.000392,0.000169,0.000130
Edge,job_202102222248_0523,8,RoadItaly.vertex,InitializeSampleCC,10,0.02,0.1,16,6686493,7013978,14027956,140552,9731,127033,1996879.2329399546,10346058,1.010,1.012,1.009,5115415,0.729,10230098,0.729,0.000005,0.000006,0.000006
Edge,job_202102222248_0706,8,RoadItaly.vertex,InitializeSampleCC,15,0.01,0.2,4,6686493,7013978,14027956,53246,14628,34582,3081601.0027343845,7614748,1.001,1.000,1.004,4053073,0.578,8106431,0.578,0.000002,0.000000,0.000000
