MODE,JOB_ID,WORKERS,FILE,ALGO,TAU,SIGMA,BETA,NUMPARTITIONS,VERTICES,REAL EDGES, VIRTUAL EDGES,Time,Sampling Time,Total LP,Score,Migrations,R MaxNorm unbalance,V MaxNorm unbalance,Vertex MaxNorm unbalance,#real EC,#real EC (%%),#virtual EC,#virtual EC (%%),Vertex Balance JSD,Real Edge Balance JSD,Virtual Edge Balance JSD
Edge,job_202102212220_0262,8,RoadCanada.vertex,InitializeSampleCC,15,0.02,0.15,8,1965206,5533214,5533214,44911,4964,38581,1111369.1729837558,4916901,1.009,1.009,1.012,2447098,0.442,2447098,0.442,0.000017,0.000008,0.000008
Edge,job_202102212220_0344,8,RoadCanada.vertex,InitializeSampleCC,10,0.015,0.2,16,1965206,5533214,5533214,73106,5782,65759,1078721.0627452831,5467073,1.016,1.016,1.016,2553708,0.462,2553708,0.462,0.000029,0.000018,0.000018
Edge,job_202102212220_0332,8,RoadCanada.vertex,InitializeSampleCC,10,0.015,0.2,4,1965206,5533214,5533214,30238,8494,20364,1170098.2475894047,3748955,1.005,1.005,1.005,2307798,0.417,2307798,0.417,0.000005,0.000002,0.000002
Edge,job_202102212220_0007,8,RoadCanada.vertex,InitializeSampleCC,5,0.01,0.1,8,1965206,5533214,5533214,45162,4590,39158,1117823.9421412922,5086701,1.012,1.012,1.018,2429940,0.439,2429940,0.439,0.000015,0.000010,0.000010
Edge,job_202102212220_0006,8,RoadCanada.vertex,InitializeSampleCC,5,0.01,0.1,8,1965206,5533214,5533214,47251,5239,40534,1116814.7993486421,5131316,1.010,1.010,1.014,2434847,0.440,2434847,0.440,0.000016,0.000008,0.000008
Edge,job_202102212220_0176,8,RoadCanada.vertex,InitializeSampleCC,15,0.01,0.15,16,1965206,5533214,5533214,76894,4849,70304,1086925.1790002345,5665305,1.018,1.018,1.018,2528713,0.457,2528713,0.457,0.000021,0.000019,0.000019
Edge,job_202102212220_0109,8,RoadCanada.vertex,InitializeSampleCC,10,0.02,0.1,4,1965206,5533214,5533214,27825,4690,21753,1168111.9653015295,4062018,1.007,1.007,1.011,2302770,0.416,2302770,0.416,0.000022,0.000004,0.000004
Edge,job_202102212220_0040,8,RoadCanada.vertex,InitializeSampleCC,15,0.01,0.1,8,1965206,5533214,5533214,47096,4758,40831,1116301.4877948947,5228245,1.011,1.011,1.010,2431076,0.439,2431076,0.439,0.000005,0.000009,0.000009
Edge,job_202102212220_0318,8,RoadCanada.vertex,InitializeSampleCC,5,0.015,0.2,4,1965206,5533214,5533214,26862,5290,19943,1174441.8544130567,3717403,1.005,1.005,1.011,2295961,0.415,2295961,0.415,0.000020,0.000003,0.000003
Edge,job_202102212220_0296,8,RoadCanada.vertex,InitializeSampleCC,10,0.01,0.2,16,1965206,5533214,5533214,80209,5797,72782,1087941.5980152597,5819199,1.016,1.016,1.019,2532223,0.458,2532223,0.458,0.000026,0.000020,0.000020
