MODE,JOB_ID,WORKERS,FILE,ALGO,TAU,SIGMA,BETA,NUMPARTITIONS,VERTICES,REAL EDGES, VIRTUAL EDGES,Time,Sampling Time,Total LP,Score,Migrations,R MaxNorm unbalance,V MaxNorm unbalance,Vertex MaxNorm unbalance,#real EC,#real EC (%%),#virtual EC,#virtual EC (%%),Vertex Balance JSD,Real Edge Balance JSD,Virtual Edge Balance JSD
Edge,job_202101261615_3749,8,RoadCanada.vertex,InitializeSampleRD,15,0.01,0.1,4,1965206,5533214,5533214,23009,3224,19153,1157936.548459843,3787967,1.006,1.006,1.005,2343589,0.424,2343589,0.424,0.000002,0.000003,0.000003
Edge,job_202101261615_6776,8,LiveJournal.vertex,InitializeSampleHD,10,0.015,0.1,16,4847571,68993773,86220856,221440,9470,204098,3255127.0729685943,12858799,1.049,1.179,1.422,25501886,0.370,32393327,0.376,0.012498,0.000085,0.000520
Edge,job_202101261615_4692,8,BerkeleyStan.vertex,InitializeSampleRD,15,0.01,0.15,4,685230,7600595,13298940,19969,11807,7835,573060.0412953472,1021305,1.048,1.081,1.258,902804,0.119,1557959,0.117,0.004672,0.000396,0.001011
Edge,job_202101261615_2940,8,Youtube.vertex,InitializeSampleRD,15,0.01,0.1,4,1134890,2987624,5975248,18852,3459,14951,847018.3978830319,1961880,1.039,1.039,1.271,838520,0.281,1673830,0.280,0.004690,0.000208,0.000139
Edge,job_202101261615_3866,8,RoadCanada.vertex,InitializeSampleRD,5,0.01,0.15,16,1965206,5533214,5533214,77291,3646,73147,1093428.9639362076,6029274,1.018,1.018,1.017,2509479,0.454,2509479,0.454,0.000020,0.000022,0.000022
Edge,job_202101261615_2997,8,Youtube.vertex,InitializeSampleRD,5,0.02,0.1,4,1134890,2987624,5975248,19130,3173,15496,837727.3312665673,1848806,1.034,1.038,1.279,892480,0.299,1786534,0.299,0.005537,0.000167,0.000104
Edge,job_202101261615_4576,8,BerkeleyStan.vertex,InitializeSampleRD,5,0.015,0.1,4,685230,7600595,13298940,11508,3065,8021,592326.366672254,1010173,1.028,1.038,1.121,712247,0.094,1209249,0.091,0.002879,0.000066,0.000113
Edge,job_202101261615_6377,8,LiveJournal.vertex,InitializeSampleRD,15,0.015,0.1,8,4847571,68993773,86220856,136073,8223,126108,3386610.48807604,11163459,1.050,1.144,1.395,22163970,0.321,28028561,0.325,0.015033,0.000198,0.000762
Edge,job_202101261615_2440,8,Youtube.vertex,InitializeSampleGD,0,0.015,0.15,16,1134890,2987624,5975248,40341,2951,35311,780866.0039985885,2496396,1.050,1.050,1.521,1376675,0.461,2752394,0.461,0.025362,0.000223,0.000496
Edge,job_202101261615_5751,8,RoadItaly.vertex,InitializeSampleHD,5,0.01,0.1,8,6686493,7013978,14027956,75164,5978,64448,2302480.803098448,8989753,1.002,1.003,1.007,4838491,0.690,9677349,0.690,0.000004,0.000001,0.000001
Edge,job_202101261615_6052,8,RoadItaly.vertex,InitializeSampleHD,15,0.01,0.2,16,6686493,7013978,14027956,124219,8670,110378,2012034.1205047965,9545249,1.008,1.011,1.007,5120044,0.730,10239948,0.730,0.000005,0.000004,0.000004
Edge,job_202101261615_4272,8,RoadCanada.vertex,InitializeSampleHD,10,0.01,0.15,4,1965206,5533214,5533214,27193,5117,19876,1164258.9927772826,3875512,1.006,1.006,1.008,2315343,0.418,2315343,0.418,0.000007,0.000003,0.000003
