JOB ID,job_local228712984_0001
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,1
ALGORITHM,InitializeSampleGD
GRAPH,testfile.txt
VERTICES,3783
REAL EDGES,24186
VIRTUAL EDGES,28248
PARITIONS,4
REAL LOADS,6138_5926_6137_5985_
VIRTUAL LOADS,7034_7333_7120_6761_
VIRTUAL COUNTS,897_1122_990_774_
REAL KLU,8.605633E-5
VIRTUAL KLU,3.047849E-4
VIRTUAL COUNT KLU,0.0065636053
REAL AVGD KLU,0.009521139
VIRTUAL AVGD KLU,0.005739302

REAL E MAXNORMLOAD,1.015
REAL E MAXMINLOAD,1.036
REAL EB JSD,0.000043
REAL E KLU,0.000086
REAL V MAXNORMLOAD,1.186
REAL V MAXMINLOAD,1.450
REAL VB JSD,0.003292
REAL V KLU,0.006564
REAL AVGD MAXNORM,1.209
REAL AVGD MAXMIN,1.464
REAL AVGDB JSD,0.003450
REAL AVGD KLU,0.009521
REAL EC PCT,0.438
REAL COMMVOL PCT,0.408
REAL LOCE PCT,0.562
REAL EC,10589
REAL COMMVOL,3328
REAL LOCE,13597
REAL COMMVOL NORMF,8154
REAL SCORE,2309.205164055879
VIRTUAL E MAXNORM LOAD,1.038
VIRTUAL E MAXMIN LOAD,1.085
VIRTUAL ED JSD,0.000153
VIRTUAL E KLU,0.000305
VIRTUAL V MAXNORM LOAD,1.186
VIRTUAL V MAXMIN LOAD,1.450
VIRTUAL VB JSD,0.003292
VIRTUAL V KLU,0.006564
VIRTUAL AVGD MAXNORM,1.170
VIRTUAL AVGD MAXMIN,1.337
VIRTUAL AVGDB JSD,0.002068
VIRTUAL AVGD KLU,0.005739
VIRTUAL EC PCT,0.438
VIRTUAL COMMVOL PCT,0.434
VIRTUAL LOCE PCT,0.562
VIRTUAL EC,12360
VIRTUAL COMMVOL,4046
VIRTUAL LOCE,15888
VIRTUAL COMMVOL NORMF,9333

SAMPLING START,2
SAMPLING END,10
SAMPLING CYCLES,2
SAMPLING EXTRA,1
LP START,11
LP END,56
LP CYCLES,23
TOT MIGRATIONS,5882

INITIAL MESSAGES,24186
SAMPLING MESSAGES,64199
LP MESSAGES,61608
SHUTDOWN MESSAGES,653
TOTAL MESSAGES,150646

INPUT TIME (not included in total),675
INITIALIZE TIME,349
SETUP TIME,32
Initializing algorithm time,393
LP time,3068
Avg. LP cycle time,133
Sampling time,310
Avg. Sampling cycle time,155.0
TOTAL TIME,3771
OUT DEGREE THRESHOLD,0
BETA,329
SIGMA,33
TAU,5
SAMPLING_ERROR,false
