JOB ID,job_202101261615_0177
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,1
ALGORITHM,InitializeSampleGD
GRAPH,testfile.txt
VERTICES,3783
REAL EDGES,24186
VIRTUAL EDGES,28248
PARITIONS,8
REAL LOADS,3086_2926_2919_3139_3098_3062_3111_2845_
VIRTUAL LOADS,3495_3681_3641_3488_3618_3663_3429_3233_
VIRTUAL COUNTS,454_526_424_436_471_488_455_529_
REAL KLU,2.7878158E-4
VIRTUAL KLU,3.9525024E-4
VIRTUAL COUNT KLU,0.0014168728
REAL AVGD KLU,0.00463864
VIRTUAL AVGD KLU,0.004171301

REAL E MAXNORMLOAD,1.038
REAL E MAXMINLOAD,1.103
REAL EB JSD,0.000210
REAL E KLU,0.000279
REAL V MAXNORMLOAD,1.119
REAL V MAXMINLOAD,1.248
REAL VB JSD,0.001059
REAL V KLU,0.001417
REAL AVGD MAXNORM,1.126
REAL AVGD MAXMIN,1.339
REAL AVGDB JSD,0.001694
REAL AVGD KLU,0.004639
REAL EC PCT,0.581
REAL COMMVOL PCT,0.492
REAL LOCE PCT,0.419
REAL EC,14047
REAL COMMVOL,5609
REAL LOCE,10139
REAL COMMVOL NORMF,11400
REAL SCORE,2122.4012765921757
VIRTUAL E MAXNORM LOAD,1.042
VIRTUAL E MAXMIN LOAD,1.139
VIRTUAL ED JSD,0.000298
VIRTUAL E KLU,0.000395
VIRTUAL V MAXNORM LOAD,1.119
VIRTUAL V MAXMIN LOAD,1.248
VIRTUAL VB JSD,0.001059
VIRTUAL V KLU,0.001417
VIRTUAL AVGD MAXNORM,1.150
VIRTUAL AVGD MAXMIN,1.405
VIRTUAL AVGDB JSD,0.001523
VIRTUAL AVGD KLU,0.004171
VIRTUAL EC PCT,0.577
VIRTUAL COMMVOL PCT,0.508
VIRTUAL LOCE PCT,0.423
VIRTUAL EC,16309
VIRTUAL COMMVOL,6627
VIRTUAL LOCE,11939
VIRTUAL COMMVOL NORMF,13033

SAMPLING START,2
SAMPLING END,16
SAMPLING CYCLES,4
SAMPLING EXTRA,1
LP START,17
LP END,84
LP CYCLES,34
TOT MIGRATIONS,6450

INITIAL MESSAGES,24186
SAMPLING MESSAGES,79520
LP MESSAGES,86201
SHUTDOWN MESSAGES,1182
TOTAL MESSAGES,191089

INPUT TIME (not included in total),285
INITIALIZE TIME,168
SETUP TIME,12
Initializing algorithm time,127
LP time,1752
Avg. LP cycle time,51
Sampling time,237
Avg. Sampling cycle time,59.25
TOTAL TIME,2116
OUT DEGREE THRESHOLD,0
BETA,658
SIGMA,33
TAU,15
SAMPLING_ERROR,false
