JOB ID,job_202102222248_0755
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleCC
GRAPH,RoadItaly.vertex
VERTICES,6686493
REAL EDGES,7013978
VIRTUAL EDGES,14027956
PARITIONS,4
REAL LOADS,1750861_1755207_1752039_1755871_
VIRTUAL LOADS,3506945_3509930_3504028_3507053_
VIRTUAL COUNTS,1666330_1673872_1667865_1678426_
REAL KLU,5.1714875E-7
VIRTUAL KLU,1.2773526E-7
VIRTUAL COUNT KLU,3.0155657E-6
REAL AVGD KLU,1.532025E-6
VIRTUAL AVGD KLU,3.56715E-6

REAL E MAXNORMLOAD,1.001
REAL E MAXMINLOAD,1.003
REAL EB JSD,0.000000
REAL E KLU,0.000001
REAL V MAXNORMLOAD,1.004
REAL V MAXMINLOAD,1.007
REAL VB JSD,0.000002
REAL V KLU,0.000003
REAL AVGD MAXNORM,1.002
REAL AVGD MAXMIN,1.004
REAL AVGDB JSD,0.000001
REAL AVGD KLU,0.000002
REAL EC PCT,0.576
REAL COMMVOL PCT,0.498
REAL LOCE PCT,0.424
REAL EC,4040227
REAL COMMVOL,3490469
REAL LOCE,2973751
REAL COMMVOL NORMF,7013971
REAL SCORE,3089896.544921671
VIRTUAL E MAXNORM LOAD,1.001
VIRTUAL E MAXMIN LOAD,1.002
VIRTUAL ED JSD,0.000000
VIRTUAL E KLU,0.000000
VIRTUAL V MAXNORM LOAD,1.004
VIRTUAL V MAXMIN LOAD,1.007
VIRTUAL VB JSD,0.000002
VIRTUAL V KLU,0.000003
VIRTUAL AVGD MAXNORM,1.003
VIRTUAL AVGD MAXMIN,1.007
VIRTUAL AVGDB JSD,0.000001
VIRTUAL AVGD KLU,0.000004
VIRTUAL EC PCT,0.576
VIRTUAL COMMVOL PCT,0.502
VIRTUAL LOCE PCT,0.424
VIRTUAL EC,8080056
VIRTUAL COMMVOL,7036368
VIRTUAL LOCE,5947900
VIRTUAL COMMVOL NORMF,14025256

SAMPLING START,2
SAMPLING END,29
SAMPLING CYCLES,8
SAMPLING EXTRA,1
LP START,30
LP END,57
LP CYCLES,14
TOT MIGRATIONS,7726078

INITIAL MESSAGES,7013978
SAMPLING MESSAGES,48057474
LP MESSAGES,19259007
SHUTDOWN MESSAGES,95246
TOTAL MESSAGES,74425705

INPUT TIME (not included in total),5083
INITIALIZE TIME,2236
SETUP TIME,18
Initializing algorithm time,3646
LP time,32904
Avg. LP cycle time,2350
Sampling time,14574
Avg. Sampling cycle time,1821.75
TOTAL TIME,51124
OUT DEGREE THRESHOLD,0
BETA,0.2
SIGMA,0.015
TAU,15
SAMPLING_ERROR,false
