JOB ID,job_202102250107_0239
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleCC
GRAPH,RoadItaly.vertex
VERTICES,6686493
REAL EDGES,7013978
VIRTUAL EDGES,14027956
PARITIONS,4
REAL LOADS,1753583_1749170_1752311_1758914_
VIRTUAL LOADS,3506474_3501902_3504402_3515178_
VIRTUAL COUNTS,1672225_1670825_1671906_1671537_
REAL KLU,1.4506245E-6
VIRTUAL KLU,7.320906E-7
VIRTUAL COUNT KLU,3.5067593E-8
REAL AVGD KLU,1.8292618E-6
VIRTUAL AVGD KLU,9.648896E-7

REAL E MAXNORMLOAD,1.003
REAL E MAXMINLOAD,1.006
REAL EB JSD,0.000001
REAL E KLU,0.000001
REAL V MAXNORMLOAD,1.000
REAL V MAXMINLOAD,1.001
REAL VB JSD,0.000000
REAL V KLU,0.000000
REAL AVGD MAXNORM,1.003
REAL AVGD MAXMIN,1.005
REAL AVGDB JSD,0.000001
REAL AVGD KLU,0.000002
REAL EC PCT,0.424
REAL COMMVOL PCT,0.366
REAL LOCE PCT,0.576
REAL EC,2975084
REAL COMMVOL,2565768
REAL LOCE,4038894
REAL COMMVOL NORMF,7013971
REAL SCORE,1.1433171575546492E7
VIRTUAL E MAXNORM LOAD,1.002
VIRTUAL E MAXMIN LOAD,1.004
VIRTUAL ED JSD,0.000000
VIRTUAL E KLU,0.000001
VIRTUAL V MAXNORM LOAD,1.000
VIRTUAL V MAXMIN LOAD,1.001
VIRTUAL VB JSD,0.000000
VIRTUAL V KLU,0.000000
VIRTUAL AVGD MAXNORM,1.002
VIRTUAL AVGD MAXMIN,1.003
VIRTUAL AVGDB JSD,0.000000
VIRTUAL AVGD KLU,0.000001
VIRTUAL EC PCT,0.431
VIRTUAL COMMVOL PCT,0.375
VIRTUAL LOCE PCT,0.569
VIRTUAL EC,6050056
VIRTUAL COMMVOL,5254301
VIRTUAL LOCE,7977900
VIRTUAL COMMVOL NORMF,14025256

SAMPLING START,2
SAMPLING END,26
SAMPLING CYCLES,7
SAMPLING EXTRA,1
LP START,27
LP END,110
LP CYCLES,42
TOT MIGRATIONS,14478408

INITIAL MESSAGES,7013978
SAMPLING MESSAGES,48086996
LP MESSAGES,33601551
SHUTDOWN MESSAGES,187313
TOTAL MESSAGES,88889838

INPUT TIME (not included in total),4638
INITIALIZE TIME,2247
SETUP TIME,18
Initializing algorithm time,3664
LP time,95243
Avg. LP cycle time,2267
Sampling time,12907
Avg. Sampling cycle time,1843.8572
TOTAL TIME,111814
OUT DEGREE THRESHOLD,0
BETA,0.2
SIGMA,0.02
TAU,15
SAMPLING_ERROR,false
