JOB ID,job_202101261615_2311
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,BGRAP
GRAPH,Youtube.vertex
VERTICES,1134890
REAL EDGES,2987624
VIRTUAL EDGES,5975248
PARITIONS,4
REAL LOADS,773354_733450_728957_751863_
VIRTUAL LOADS,1446077_1539157_1455969_1534045_
VIRTUAL COUNTS,245090_284653_330862_274285_
REAL KLU,1.976481E-4
VIRTUAL KLU,2.9851764E-4
VIRTUAL COUNT KLU,0.0042167637
REAL AVGD KLU,0.008211765
VIRTUAL AVGD KLU,0.0057558506

REAL E MAXNORMLOAD,1.035
REAL E MAXMINLOAD,1.061
REAL EB JSD,0.000099
REAL E KLU,0.000198
REAL V MAXNORMLOAD,1.166
REAL V MAXMINLOAD,1.350
REAL VB JSD,0.002099
REAL V KLU,0.004217
REAL AVGD MAXNORM,1.199
REAL AVGD MAXMIN,1.432
REAL AVGDB JSD,0.002968
REAL AVGD KLU,0.008212
REAL EC PCT,0.312
REAL COMMVOL PCT,0.311
REAL LOCE PCT,0.688
REAL EC,931562
REAL COMMVOL,264436
REAL LOCE,2056062
REAL COMMVOL NORMF,850988
REAL SCORE,699675.0423674341
VIRTUAL E MAXNORM LOAD,1.030
VIRTUAL E MAXMIN LOAD,1.064
VIRTUAL ED JSD,0.000149
VIRTUAL E KLU,0.000299
VIRTUAL V MAXNORM LOAD,1.166
VIRTUAL V MAXMIN LOAD,1.350
VIRTUAL VB JSD,0.002099
VIRTUAL V KLU,0.004217
VIRTUAL AVGD MAXNORM,1.121
VIRTUAL AVGD MAXMIN,1.341
VIRTUAL AVGDB JSD,0.002111
VIRTUAL AVGD KLU,0.005756
VIRTUAL EC PCT,0.311
VIRTUAL COMMVOL PCT,0.375
VIRTUAL LOCE PCT,0.689
VIRTUAL EC,1856161
VIRTUAL COMMVOL,853969
VIRTUAL LOCE,4119087
VIRTUAL COMMVOL NORMF,2274609

SAMPLING START,2
SAMPLING END,2
SAMPLING CYCLES,0
SAMPLING EXTRA,0
LP START,3
LP END,60
LP CYCLES,29
TOT MIGRATIONS,2021953

INITIAL MESSAGES,2987624
SAMPLING MESSAGES,5975248
LP MESSAGES,12803702
SHUTDOWN MESSAGES,196124
TOTAL MESSAGES,21962698

INPUT TIME (not included in total),2933
INITIALIZE TIME,2218
SETUP TIME,15
Initializing algorithm time,528
LP time,14711
Avg. LP cycle time,507
Sampling time,0
Avg. Sampling cycle time,0.0
TOTAL TIME,15239
OUT DEGREE THRESHOLD,2147483647
BETA,0.0
SIGMA,0.0
TAU,0
SAMPLING_ERROR,false
