JOB ID,job_202101261615_2800
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleGD
GRAPH,RoadItaly.vertex
VERTICES,6686493
REAL EDGES,7013978
VIRTUAL EDGES,14027956
PARITIONS,16
REAL LOADS,435974_435120_441076_440924_437464_432907_439422_438493_442520_439442_441752_437046_442333_436190_439110_434205_
VIRTUAL LOADS,871298_871702_881791_882158_873074_868498_879853_875029_886541_877657_882024_874627_883178_871808_876926_871792_
VIRTUAL COUNTS,416693_415357_422177_419273_419395_409312_417362_420419_418214_418125_421761_417799_421584_417431_420095_411496_
REAL KLU,7.737149E-6
VIRTUAL KLU,6.2058275E-6
VIRTUAL COUNT KLU,1.20024315E-5
REAL AVGD KLU,1.0273712E-5
VIRTUAL AVGD KLU,1.8186302E-5

REAL E MAXNORMLOAD,1.009
REAL E MAXMINLOAD,1.022
REAL EB JSD,0.000008
REAL E KLU,0.000008
REAL V MAXNORMLOAD,1.010
REAL V MAXMINLOAD,1.031
REAL VB JSD,0.000012
REAL V KLU,0.000012
REAL AVGD MAXNORM,1.009
REAL AVGD MAXMIN,1.015
REAL AVGDB JSD,0.000004
REAL AVGD KLU,0.000010
REAL EC PCT,0.735
REAL COMMVOL PCT,0.700
REAL LOCE PCT,0.265
REAL EC,5152277
REAL COMMVOL,4907899
REAL LOCE,1861701
REAL COMMVOL NORMF,7013978
REAL SCORE,1961184.5005057305
VIRTUAL E MAXNORM LOAD,1.011
VIRTUAL E MAXMIN LOAD,1.021
VIRTUAL ED JSD,0.000006
VIRTUAL E KLU,0.000006
VIRTUAL V MAXNORM LOAD,1.010
VIRTUAL V MAXMIN LOAD,1.031
VIRTUAL VB JSD,0.000012
VIRTUAL V KLU,0.000012
VIRTUAL AVGD MAXNORM,1.011
VIRTUAL AVGD MAXMIN,1.019
VIRTUAL AVGDB JSD,0.000007
VIRTUAL AVGD KLU,0.000018
VIRTUAL EC PCT,0.735
VIRTUAL COMMVOL PCT,0.702
VIRTUAL LOCE PCT,0.265
VIRTUAL EC,10303624
VIRTUAL COMMVOL,9853199
VIRTUAL LOCE,3724332
VIRTUAL COMMVOL NORMF,14027956

SAMPLING START,2
SAMPLING END,22
SAMPLING CYCLES,6
SAMPLING EXTRA,1
LP START,23
LP END,70
LP CYCLES,24
TOT MIGRATIONS,10137914

INITIAL MESSAGES,7013978
SAMPLING MESSAGES,30762867
LP MESSAGES,23543082
SHUTDOWN MESSAGES,285101
TOTAL MESSAGES,61605028

INPUT TIME (not included in total),4659
INITIALIZE TIME,2195
SETUP TIME,16
Initializing algorithm time,4873
LP time,119375
Avg. LP cycle time,4973
Sampling time,6294
Avg. Sampling cycle time,1049.0
TOTAL TIME,130542
OUT DEGREE THRESHOLD,0
BETA,0.1
SIGMA,0.015
TAU,0
SAMPLING_ERROR,false
