JOB ID,job_202101261615_5595
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleRD
GRAPH,RoadItaly.vertex
VERTICES,6686493
REAL EDGES,7013978
VIRTUAL EDGES,14027956
PARITIONS,4
REAL LOADS,1750173_1756805_1756261_1750739_
VIRTUAL LOADS,3497910_3514318_3511333_3504395_
VIRTUAL COUNTS,1671070_1670585_1677111_1667727_
REAL KLU,1.0920271E-6
VIRTUAL KLU,1.1859928E-6
VIRTUAL COUNT KLU,1.5056246E-6
REAL AVGD KLU,1.5267475E-6
VIRTUAL AVGD KLU,2.3941657E-6

REAL E MAXNORMLOAD,1.002
REAL E MAXMINLOAD,1.004
REAL EB JSD,0.000001
REAL E KLU,0.000001
REAL V MAXNORMLOAD,1.003
REAL V MAXMINLOAD,1.006
REAL VB JSD,0.000001
REAL V KLU,0.000002
REAL AVGD MAXNORM,1.003
REAL AVGD MAXMIN,1.004
REAL AVGDB JSD,0.000001
REAL AVGD KLU,0.000002
REAL EC PCT,0.589
REAL COMMVOL PCT,0.508
REAL LOCE PCT,0.411
REAL EC,4129257
REAL COMMVOL,3564979
REAL LOCE,2884721
REAL COMMVOL NORMF,7013971
REAL SCORE,3012791.713164383
VIRTUAL E MAXNORM LOAD,1.002
VIRTUAL E MAXMIN LOAD,1.005
VIRTUAL ED JSD,0.000001
VIRTUAL E KLU,0.000001
VIRTUAL V MAXNORM LOAD,1.003
VIRTUAL V MAXMIN LOAD,1.006
VIRTUAL VB JSD,0.000001
VIRTUAL V KLU,0.000002
VIRTUAL AVGD MAXNORM,1.003
VIRTUAL AVGD MAXMIN,1.005
VIRTUAL AVGDB JSD,0.000001
VIRTUAL AVGD KLU,0.000002
VIRTUAL EC PCT,0.589
VIRTUAL COMMVOL PCT,0.513
VIRTUAL LOCE PCT,0.411
VIRTUAL EC,8258293
VIRTUAL COMMVOL,7190504
VIRTUAL LOCE,5769663
VIRTUAL COMMVOL NORMF,14025256

SAMPLING START,2
SAMPLING END,18
SAMPLING CYCLES,5
SAMPLING EXTRA,1
LP START,19
LP END,46
LP CYCLES,14
TOT MIGRATIONS,7582347

INITIAL MESSAGES,7013978
SAMPLING MESSAGES,18610949
LP MESSAGES,18206241
SHUTDOWN MESSAGES,85455
TOTAL MESSAGES,43916623

INPUT TIME (not included in total),4798
INITIALIZE TIME,2216
SETUP TIME,15
Initializing algorithm time,1392
LP time,32509
Avg. LP cycle time,2322
Sampling time,5517
Avg. Sampling cycle time,1103.4
TOTAL TIME,39418
OUT DEGREE THRESHOLD,0
BETA,0.15
SIGMA,0.02
TAU,15
SAMPLING_ERROR,false
