JOB ID,job_202101261615_6918
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleHD
GRAPH,LiveJournal.vertex
VERTICES,4847571
REAL EDGES,68993773
VIRTUAL EDGES,86220856
PARITIONS,8
REAL LOADS,9052399_8482600_8470861_8894540_8405290_8841577_8384363_8462143_
VIRTUAL LOADS,12130604_10824873_10522006_10932634_10244317_10933809_10295321_10337292_
VIRTUAL COUNTS,256957_501007_720695_603107_825760_633905_701768_604372_
REAL KLU,1.9244445E-4
VIRTUAL KLU,6.7190593E-4
VIRTUAL COUNT KLU,0.019054072
REAL AVGD KLU,0.08794062
VIRTUAL AVGD KLU,0.105168864

REAL E MAXNORMLOAD,1.050
REAL E MAXMINLOAD,1.080
REAL EB JSD,0.000144
REAL E KLU,0.000192
REAL V MAXNORMLOAD,1.363
REAL V MAXMINLOAD,3.214
REAL VB JSD,0.015380
REAL V KLU,0.019054
REAL AVGD MAXNORM,2.475
REAL AVGD MAXMIN,3.461
REAL AVGDB JSD,0.028929
REAL AVGD KLU,0.087941
REAL EC PCT,0.321
REAL COMMVOL PCT,0.315
REAL LOCE PCT,0.679
REAL EC,22141646
REAL COMMVOL,6731394
REAL LOCE,46852127
REAL COMMVOL NORMF,21388505
REAL SCORE,3383024.956591372
VIRTUAL E MAXNORM LOAD,1.126
VIRTUAL E MAXMIN LOAD,1.184
VIRTUAL ED JSD,0.000498
VIRTUAL E KLU,0.000672
VIRTUAL V MAXNORM LOAD,1.363
VIRTUAL V MAXMIN LOAD,3.214
VIRTUAL VB JSD,0.015380
VIRTUAL V KLU,0.019054
VIRTUAL AVGD MAXNORM,2.654
VIRTUAL AVGD MAXMIN,3.805
VIRTUAL AVGDB JSD,0.034332
VIRTUAL AVGD KLU,0.105169
VIRTUAL EC PCT,0.325
VIRTUAL COMMVOL PCT,0.351
VIRTUAL LOCE PCT,0.675
VIRTUAL EC,28001563
VIRTUAL COMMVOL,8456027
VIRTUAL LOCE,58219293
VIRTUAL COMMVOL NORMF,24057216

SAMPLING START,2
SAMPLING END,68
SAMPLING CYCLES,22
SAMPLING EXTRA,0
LP START,69
LP END,156
LP CYCLES,44
TOT MIGRATIONS,11213252

INITIAL MESSAGES,68993773
SAMPLING MESSAGES,776045779
LP MESSAGES,244482515
SHUTDOWN MESSAGES,593766
TOTAL MESSAGES,1090115833

INPUT TIME (not included in total),4446
INITIALIZE TIME,2238
SETUP TIME,17
Initializing algorithm time,7687
LP time,125100
Avg. LP cycle time,2843
Sampling time,43081
Avg. Sampling cycle time,1958.2273
TOTAL TIME,175868
OUT DEGREE THRESHOLD,0
BETA,0.15
SIGMA,0.015
TAU,15
SAMPLING_ERROR,false
