JOB ID,job_202101261615_7110
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,BGRAP
GRAPH,LiveJournal.vertex
VERTICES,4847571
REAL EDGES,68993773
VIRTUAL EDGES,86220856
PARITIONS,4
REAL LOADS,22073939_17716587_18545438_10657809_
VIRTUAL LOADS,28353168_21824143_22977727_13065818_
VIRTUAL COUNTS,1237759_1270241_1270012_1069559_
REAL KLU,0.022302605
VIRTUAL KLU,0.024850054
VIRTUAL COUNT KLU,0.0017462166
REAL AVGD KLU,0.020261198
VIRTUAL AVGD KLU,0.02365285

REAL E MAXNORMLOAD,1.280
REAL E MAXMINLOAD,2.071
REAL EB JSD,0.011596
REAL E KLU,0.022303
REAL V MAXNORMLOAD,1.048
REAL V MAXMINLOAD,1.188
REAL VB JSD,0.000885
REAL V KLU,0.001746
REAL AVGD MAXNORM,1.253
REAL AVGD MAXMIN,1.790
REAL AVGDB JSD,0.007430
REAL AVGD KLU,0.020261
REAL EC PCT,0.195
REAL COMMVOL PCT,0.307
REAL LOCE PCT,0.805
REAL EC,13448489
REAL COMMVOL,4039802
REAL LOCE,55545284
REAL COMMVOL NORMF,13171798
REAL SCORE,9213838.48303117
VIRTUAL E MAXNORM LOAD,1.315
VIRTUAL E MAXMIN LOAD,2.170
VIRTUAL ED JSD,0.012880
VIRTUAL E KLU,0.024850
VIRTUAL V MAXNORM LOAD,1.048
VIRTUAL V MAXMIN LOAD,1.188
VIRTUAL VB JSD,0.000885
VIRTUAL V KLU,0.001746
VIRTUAL AVGD MAXNORM,1.288
VIRTUAL AVGD MAXMIN,1.875
VIRTUAL AVGDB JSD,0.008641
VIRTUAL AVGD KLU,0.023653
VIRTUAL EC PCT,0.197
VIRTUAL COMMVOL PCT,0.349
VIRTUAL LOCE PCT,0.803
VIRTUAL EC,17025251
VIRTUAL COMMVOL,5171660
VIRTUAL LOCE,69195605
VIRTUAL COMMVOL NORMF,14820755

SAMPLING START,2
SAMPLING END,2
SAMPLING CYCLES,0
SAMPLING EXTRA,0
LP START,3
LP END,62
LP CYCLES,30
TOT MIGRATIONS,9740038

INITIAL MESSAGES,68993773
SAMPLING MESSAGES,86220856
LP MESSAGES,198295749
SHUTDOWN MESSAGES,232915
TOTAL MESSAGES,353743293

INPUT TIME (not included in total),4605
INITIALIZE TIME,2202
SETUP TIME,15
Initializing algorithm time,574
LP time,71121
Avg. LP cycle time,2370
Sampling time,0
Avg. Sampling cycle time,0.0
TOTAL TIME,71695
OUT DEGREE THRESHOLD,2147483647
BETA,0.0
SIGMA,0.0
TAU,0
SAMPLING_ERROR,false
