JOB ID,job_202102081239_0521
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleHD
GRAPH,LiveJournal.vertex
VERTICES,4847571
REAL EDGES,68993773
VIRTUAL EDGES,86220856
PARITIONS,16
REAL LOADS,3735996_2975425_3415657_3054054_3430184_4886091_3948936_2965963_4624562_5441685_3912443_3986113_11762085_3383974_3829383_3641222_
VIRTUAL LOADS,4550507_3600403_4164091_3676530_4264147_6115979_4781058_3633747_5666640_6919453_4825098_5069691_15579549_4146169_4790760_4437034_
VIRTUAL COUNTS,298705_294952_295635_296119_295586_317079_306278_295073_316815_316699_299506_301048_317617_296808_298994_300657_
REAL KLU,0.02972835
VIRTUAL KLU,0.034597017
VIRTUAL COUNT KLU,1.4371437E-4
REAL AVGD KLU,0.07185487
VIRTUAL AVGD KLU,0.08442605

REAL E MAXNORMLOAD,2.728
REAL E MAXMINLOAD,3.966
REAL EB JSD,0.025988
REAL E KLU,0.029728
REAL V MAXNORMLOAD,1.048
REAL V MAXMINLOAD,1.077
REAL VB JSD,0.000143
REAL V KLU,0.000144
REAL AVGD MAXNORM,2.602
REAL AVGD MAXMIN,3.684
REAL AVGDB JSD,0.022663
REAL AVGD KLU,0.071855
REAL EC PCT,0.368
REAL COMMVOL PCT,0.308
REAL LOCE PCT,0.632
REAL EC,25376848
REAL COMMVOL,10019572
REAL LOCE,43616925
REAL COMMVOL NORMF,32494645
REAL SCORE,8815577.285928993
VIRTUAL E MAXNORM LOAD,2.891
VIRTUAL E MAXMIN LOAD,4.327
VIRTUAL ED JSD,0.029979
VIRTUAL E KLU,0.034597
VIRTUAL V MAXNORM LOAD,1.048
VIRTUAL V MAXMIN LOAD,1.077
VIRTUAL VB JSD,0.000143
VIRTUAL V KLU,0.000144
VIRTUAL AVGD MAXNORM,2.758
VIRTUAL AVGD MAXMIN,4.018
VIRTUAL AVGDB JSD,0.026399
VIRTUAL AVGD KLU,0.084426
VIRTUAL EC PCT,0.372
VIRTUAL COMMVOL PCT,0.342
VIRTUAL LOCE PCT,0.628
VIRTUAL EC,32057622
VIRTUAL COMMVOL,12549081
VIRTUAL LOCE,54163234
VIRTUAL COMMVOL NORMF,36675794

SAMPLING START,2
SAMPLING END,37
SAMPLING CYCLES,11
SAMPLING EXTRA,1
LP START,38
LP END,97
LP CYCLES,30
TOT MIGRATIONS,9582494

INITIAL MESSAGES,68993773
SAMPLING MESSAGES,266569813
LP MESSAGES,247421620
SHUTDOWN MESSAGES,456649
TOTAL MESSAGES,583441855

INPUT TIME (not included in total),4246
INITIALIZE TIME,2214
SETUP TIME,17
Initializing algorithm time,8498
LP time,137951
Avg. LP cycle time,4598
Sampling time,11315
Avg. Sampling cycle time,1028.6364
TOTAL TIME,157764
OUT DEGREE THRESHOLD,0
BETA,0.2
SIGMA,0.015
TAU,5
SAMPLING_ERROR,false
