JOB ID,job_202102081239_0762
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleGD
GRAPH,BerkeleyStan.vertex
VERTICES,685230
REAL EDGES,7600595
VIRTUAL EDGES,13298940
PARITIONS,8
REAL LOADS,856338_734199_1710762_818282_1072595_704893_825816_877710_
VIRTUAL LOADS,1523268_1159447_3147522_1428055_2025369_1087625_1334967_1592687_
VIRTUAL COUNTS,81787_82364_88156_85865_89829_88157_88947_80125_
REAL KLU,0.021524915
VIRTUAL KLU,0.02961817
VIRTUAL COUNT KLU,4.0029304E-4
REAL AVGD KLU,0.040351585
VIRTUAL AVGD KLU,0.05666374

REAL E MAXNORMLOAD,1.801
REAL E MAXMINLOAD,2.427
REAL EB JSD,0.015110
REAL E KLU,0.021525
REAL V MAXNORMLOAD,1.049
REAL V MAXMINLOAD,1.121
REAL VB JSD,0.000301
REAL V KLU,0.000400
REAL AVGD MAXNORM,1.750
REAL AVGD MAXMIN,2.427
REAL AVGDB JSD,0.013700
REAL AVGD KLU,0.040352
REAL EC PCT,0.161
REAL COMMVOL PCT,0.138
REAL LOCE PCT,0.839
REAL EC,1221305
REAL COMMVOL,501812
REAL LOCE,6379290
REAL COMMVOL NORMF,3642641
REAL SCORE,1430306.5743965898
VIRTUAL E MAXNORM LOAD,1.893
VIRTUAL E MAXMIN LOAD,2.894
VIRTUAL ED JSD,0.020998
VIRTUAL E KLU,0.029618
VIRTUAL V MAXNORM LOAD,1.049
VIRTUAL V MAXMIN LOAD,1.121
VIRTUAL VB JSD,0.000301
VIRTUAL V KLU,0.000400
VIRTUAL AVGD MAXNORM,1.840
VIRTUAL AVGD MAXMIN,2.894
VIRTUAL AVGDB JSD,0.019461
VIRTUAL AVGD KLU,0.056664
VIRTUAL EC PCT,0.162
VIRTUAL COMMVOL PCT,0.152
VIRTUAL LOCE PCT,0.838
VIRTUAL EC,2157676
VIRTUAL COMMVOL,612894
VIRTUAL LOCE,11141264
VIRTUAL COMMVOL NORMF,4027957

SAMPLING START,2
SAMPLING END,40
SAMPLING CYCLES,12
SAMPLING EXTRA,1
LP START,41
LP END,76
LP CYCLES,18
TOT MIGRATIONS,1060837

INITIAL MESSAGES,7600595
SAMPLING MESSAGES,41228602
LP MESSAGES,29095873
SHUTDOWN MESSAGES,236838
TOTAL MESSAGES,78161908

INPUT TIME (not included in total),2561
INITIALIZE TIME,2225
SETUP TIME,16
Initializing algorithm time,2040
LP time,10076
Avg. LP cycle time,559
Sampling time,4287
Avg. Sampling cycle time,357.25
TOTAL TIME,16403
OUT DEGREE THRESHOLD,0
BETA,0.2
SIGMA,0.02
TAU,0
SAMPLING_ERROR,false
