JOB ID,job_202102081239_2498
JOB NAME,Giraph: giraph.lri.rrojas.rankdegree.LPGPartitionner$ConverterPropagate
WORKERS,8
ALGORITHM,InitializeSampleRD
GRAPH,RoadItaly.vertex
VERTICES,6686493
REAL EDGES,7013978
VIRTUAL EDGES,14027956
PARITIONS,8
REAL LOADS,877116_875468_877498_874879_878902_878112_877141_874862_
VIRTUAL LOADS,1752877_1750923_1756086_1750787_1755881_1755641_1754698_1751063_
VIRTUAL COUNTS,836079_835251_835965_835375_835947_836400_835973_835503_
REAL KLU,6.272533E-7
VIRTUAL KLU,3.7835287E-7
VIRTUAL COUNT KLU,4.671522E-8
REAL AVGD KLU,8.06774E-7
VIRTUAL AVGD KLU,4.2445456E-7

REAL E MAXNORMLOAD,1.002
REAL E MAXMINLOAD,1.005
REAL EB JSD,0.000000
REAL E KLU,0.000001
REAL V MAXNORMLOAD,1.001
REAL V MAXMINLOAD,1.001
REAL VB JSD,0.000000
REAL V KLU,0.000000
REAL AVGD MAXNORM,1.002
REAL AVGD MAXMIN,1.004
REAL AVGDB JSD,0.000000
REAL AVGD KLU,0.000001
REAL EC PCT,0.412
REAL COMMVOL PCT,0.381
REAL LOCE PCT,0.588
REAL EC,2888658
REAL COMMVOL,2675580
REAL LOCE,4125320
REAL COMMVOL NORMF,7013978
REAL SCORE,1.1932103010552421E7
VIRTUAL E MAXNORM LOAD,1.001
VIRTUAL E MAXMIN LOAD,1.003
VIRTUAL ED JSD,0.000000
VIRTUAL E KLU,0.000000
VIRTUAL V MAXNORM LOAD,1.001
VIRTUAL V MAXMIN LOAD,1.001
VIRTUAL VB JSD,0.000000
VIRTUAL V KLU,0.000000
VIRTUAL AVGD MAXNORM,1.001
VIRTUAL AVGD MAXMIN,1.002
VIRTUAL AVGDB JSD,0.000000
VIRTUAL AVGD KLU,0.000000
VIRTUAL EC PCT,0.423
VIRTUAL COMMVOL PCT,0.393
VIRTUAL LOCE PCT,0.577
VIRTUAL EC,5928119
VIRTUAL COMMVOL,5507567
VIRTUAL LOCE,8099837
VIRTUAL COMMVOL NORMF,14027955

SAMPLING START,2
SAMPLING END,21
SAMPLING CYCLES,6
SAMPLING EXTRA,1
LP START,22
LP END,147
LP CYCLES,63
TOT MIGRATIONS,20487042

INITIAL MESSAGES,7013978
SAMPLING MESSAGES,18566461
LP MESSAGES,45746938
SHUTDOWN MESSAGES,250276
TOTAL MESSAGES,71577653

INPUT TIME (not included in total),4621
INITIALIZE TIME,2240
SETUP TIME,14
Initializing algorithm time,1302
LP time,200879
Avg. LP cycle time,3188
Sampling time,6450
Avg. Sampling cycle time,1075.0
TOTAL TIME,208631
OUT DEGREE THRESHOLD,0
BETA,0.15
SIGMA,0.015
TAU,5
SAMPLING_ERROR,false
