MODE,JOB_ID,WORKERS,FILE,ALGO,TAU,SIGMA,BETA,NUMPARTITIONS,VERTICES,REAL EDGES, VIRTUAL EDGES,Time,Sampling Time,Total LP,Score,Migrations,R MaxNorm unbalance,V MaxNorm unbalance,Vertex MaxNorm unbalance,#real EC,#real EC (%%),#virtual EC,#virtual EC (%%),Vertex Balance JSD,Real Edge Balance JSD,Virtual Edge Balance JSD
Vertex,job_202102250107_0056,8,RoadItaly.vertex,InitializeSampleCC,15,0.015,0.1,16,6686493,7013978,14027956,413039,11983,397478,1.2427576042626224E7,25420656,1.006,1.007,1.008,2679035,0.382,5599041,0.399,0.000003,0.000003,0.000003
Vertex,job_202102241051_0161,8,RoadCanada.vertex,InitializeSampleCC,15,0.02,0.15,8,1965206,5533214,5533214,39164,5112,32342,3260997.2128528296,3535165,1.004,1.004,1.003,2716120,0.491,2716120,0.491,0.000001,0.000002,0.000002
Vertex,job_202102241051_0109,8,RoadCanada.vertex,InitializeSampleCC,15,0.01,0.15,16,1965206,5533214,5533214,40458,5636,33004,3000040.2485034144,2668567,1.004,1.004,1.004,3406478,0.616,3406478,0.616,0.000001,0.000002,0.000002
Vertex,job_202102250107_0174,8,RoadItaly.vertex,InitializeSampleCC,5,0.01,0.2,16,6686493,7013978,14027956,426894,15886,406907,1.241664588661522E7,25365741,1.008,1.009,1.008,2685102,0.383,5610547,0.400,0.000003,0.000003,0.000004
Vertex,job_202102241051_0194,8,RoadCanada.vertex,InitializeSampleCC,5,0.015,0.2,4,1965206,5533214,5533214,25496,5936,17816,3322834.202115762,3088448,1.003,1.003,1.002,2382126,0.431,2382126,0.431,0.000000,0.000001,0.000001
Vertex,job_202102241051_0079,8,RoadCanada.vertex,InitializeSampleCC,15,0.02,0.1,8,1965206,5533214,5533214,37400,5967,29824,3330324.1408509663,3861837,1.009,1.009,1.006,2568074,0.464,2568074,0.464,0.000004,0.000006,0.000006
Vertex,job_202102241051_0007,8,RoadCanada.vertex,InitializeSampleCC,5,0.01,0.1,8,1965206,5533214,5533214,40205,5148,33380,3362024.2888523755,4096145,1.005,1.005,1.004,2509209,0.453,2509209,0.453,0.000002,0.000005,0.000005
Vertex,job_202102241051_0191,8,RoadCanada.vertex,InitializeSampleCC,15,0.01,0.2,16,1965206,5533214,5533214,41178,7127,32419,2999911.7056462374,2642034,1.004,1.004,1.004,3408522,0.616,3408522,0.616,0.000001,0.000002,0.000002
Vertex,job_202102241051_0360,8,Youtube.vertex,InitializeSampleCC,5,0.015,0.15,8,1134890,2987624,5975248,91328,10507,13875,1915279.2344706624,1778664,2.008,1.776,1.047,1222784,0.409,2443988,0.409,0.000238,0.037862,0.025639
Vertex,job_202102241051_0188,8,RoadCanada.vertex,InitializeSampleCC,15,0.01,0.2,8,1965206,5533214,5533214,38023,6420,29936,3312509.989138385,3689931,1.005,1.005,1.004,2616600,0.473,2616600,0.473,0.000002,0.000002,0.000002
Vertex,job_202102241051_0141,8,RoadCanada.vertex,InitializeSampleCC,5,0.02,0.15,4,1965206,5533214,5533214,24886,5034,18107,3324174.8129700813,3300539,1.003,1.003,1.003,2357464,0.426,2357464,0.426,0.000001,0.000001,0.000001
Vertex,job_202102250107_0029,8,RoadItaly.vertex,InitializeSampleCC,15,0.01,0.1,16,6686493,7013978,14027956,425065,12865,408523,1.2434207177091759E7,25368191,1.007,1.008,1.007,2678143,0.382,5588257,0.398,0.000004,0.000004,0.000004
Vertex,job_202102241051_0250,8,Youtube.vertex,InitializeSampleCC,5,0.01,0.1,8,1134890,2987624,5975248,94563,10459,15335,1927953.23024153,1867804,1.669,1.562,1.047,1226408,0.410,2448366,0.410,0.000202,0.021326,0.015753
Vertex,job_202102250107_0137,8,RoadItaly.vertex,InitializeSampleCC,15,0.015,0.15,16,6686493,7013978,14027956,418269,13323,401040,1.2438418796249755E7,25337498,1.005,1.006,1.007,2672670,0.381,5581759,0.398,0.000003,0.000002,0.000002
Vertex,job_202102250107_0122,8,RoadItaly.vertex,InitializeSampleCC,10,0.015,0.15,4,6686493,7013978,14027956,113382,13534,96497,1.1452332158136599E7,14583584,1.001,1.001,1.000,2965781,0.423,6029842,0.430,0.000000,0.000000,0.000000
