MODE,JOB_ID,WORKERS,FILE,ALGO,TAU,SIGMA,BETA,NUMPARTITIONS,VERTICES,REAL EDGES, VIRTUAL EDGES,Time,Sampling Time,Total LP,Score,Migrations,R MaxNorm unbalance,V MaxNorm unbalance,Vertex MaxNorm unbalance,#real EC,#real EC (%%),#virtual EC,#virtual EC (%%),Vertex Balance JSD,Real Edge Balance JSD,Virtual Edge Balance JSD
Vertex,job_202102081239_2442,8,RoadItaly.vertex,InitializeSampleRD,5,0.02,0.1,4,6686493,7013978,14027956,101373,4784,95442,1.14558451367604E7,14765794,1.001,1.000,1.000,2960882,0.422,6020611,0.429,0.000000,0.000000,0.000000
Vertex,job_202102081239_0213,8,LiveJournal.vertex,InitializeSampleRD,15,0.015,0.15,8,4847571,68993773,86220856,101734,8550,91022,8960407.15871631,9429683,2.093,2.191,1.047,20355731,0.295,25722757,0.298,0.000217,0.027713,0.031451
Vertex,job_202102081239_2216,8,Youtube.vertex,InitializeSampleHD,15,0.02,0.1,4,1134890,2987624,5975248,15831,2723,11225,1923712.4235773804,1730003,1.385,1.324,1.041,939639,0.315,1872532,0.313,0.000455,0.021255,0.016235
Vertex,job_202102081239_1756,8,BerkeleyStan.vertex,InitializeSampleHD,15,0.01,0.15,4,685230,7600595,13298940,14148,5320,7008,1455969.2675230773,961880,1.192,1.256,1.046,704904,0.093,1223768,0.092,0.000285,0.002658,0.004367
Vertex,job_202102081239_0204,8,LiveJournal.vertex,InitializeSampleRD,10,0.015,0.15,8,4847571,68993773,86220856,106590,10816,93530,9102476.735115036,9578620,1.812,1.903,1.047,18818003,0.273,23765292,0.276,0.000263,0.018968,0.021964
Vertex,job_202102081239_2375,8,Youtube.vertex,InitializeSampleHD,10,0.02,0.2,16,1134890,2987624,5975248,22968,2460,18551,1915864.7578149629,1733948,2.817,2.450,1.047,1500341,0.502,2996278,0.501,0.000134,0.046488,0.030318
Vertex,job_202102081239_2460,8,RoadItaly.vertex,InitializeSampleRD,15,0.02,0.1,4,6686493,7013978,14027956,96597,4797,90629,1.1425555957909798E7,14622028,1.002,1.001,1.001,2975439,0.424,6058996,0.432,0.000000,0.000000,0.000000
Vertex,job_202102081239_0973,8,RoadCanada.vertex,InitializeSampleRD,15,0.015,0.1,4,1965206,5533214,5533214,19139,2893,15720,3349704.691073188,3403129,1.006,1.006,1.003,2308980,0.417,2308980,0.417,0.000001,0.000002,0.000002
Vertex,job_202102081239_2259,8,Youtube.vertex,InitializeSampleHD,5,0.015,0.15,16,1134890,2987624,5975248,24329,2887,19446,1915789.5735559615,1769549,2.668,2.332,1.046,1489185,0.498,2971238,0.497,0.000143,0.045881,0.031051
Vertex,job_202102081239_2684,8,RoadItaly.vertex,InitializeSampleHD,5,0.02,0.1,4,6686493,7013978,14027956,106191,6238,95605,1.1451271981188772E7,14559725,1.003,1.002,1.000,2971180,0.424,6038397,0.430,0.000000,0.000000,0.000000
Vertex,job_202102081239_2050,8,Youtube.vertex,InitializeSampleRD,10,0.02,0.15,16,1134890,2987624,5975248,23437,3684,19311,1920263.5001046928,1797359,2.781,2.413,1.045,1500558,0.502,2995931,0.501,0.000121,0.039215,0.026992
Vertex,job_202102081239_1013,8,RoadCanada.vertex,InitializeSampleRD,5,0.01,0.15,8,1965206,5533214,5533214,32872,3952,28399,3314279.6610176796,3747654,1.003,1.003,1.002,2617875,0.473,2617875,0.473,0.000000,0.000001,0.000001
Vertex,job_202102081239_1598,8,BerkeleyStan.vertex,InitializeSampleRD,15,0.01,0.2,8,685230,7600595,13298940,14383,3951,9838,1468127.6584658,1071253,1.427,1.552,1.049,849123,0.112,1492164,0.112,0.000504,0.017743,0.023230
Vertex,job_202102081239_2220,8,Youtube.vertex,InitializeSampleHD,15,0.02,0.1,8,1134890,2987624,5975248,17380,2700,12667,1901705.0040791198,1758894,2.185,1.970,1.047,1248872,0.418,2493498,0.417,0.000224,0.040790,0.028073
Vertex,job_202102081239_1963,8,Youtube.vertex,InitializeSampleRD,10,0.02,0.1,4,1134890,2987624,5975248,14555,3689,10368,1918879.426967776,1739176,1.384,1.295,1.044,962971,0.322,1924321,0.322,0.000519,0.021152,0.014989
Vertex,job_202102081239_1269,8,RoadCanada.vertex,InitializeSampleHD,10,0.01,0.15,16,1965206,5533214,5533214,35081,2708,30077,2985194.50743177,2656564,1.006,1.006,1.004,3439174,0.622,3439174,0.622,0.000001,0.000002,0.000002
Vertex,job_202102081239_0392,8,LiveJournal.vertex,InitializeSampleHD,10,0.02,0.1,8,4847571,68993773,86220856,107245,8727,90923,8945691.558546277,9513843,1.864,1.942,1.047,20084832,0.291,25353720,0.294,0.000498,0.020235,0.022827
Vertex,job_202102081239_1335,8,RoadCanada.vertex,InitializeSampleHD,5,0.01,0.2,4,1965206,5533214,5533214,21738,3229,16088,3338330.076695226,3278189,1.002,1.002,1.002,2334417,0.422,2334417,0.422,0.000000,0.000001,0.000001
Vertex,job_202102081239_2558,8,RoadItaly.vertex,InitializeSampleRD,10,0.01,0.2,4,6686493,7013978,14027956,103334,7902,94111,1.1451898625851227E7,14497933,1.001,1.001,1.001,2969242,0.423,6035963,0.430,0.000000,0.000000,0.000000
Vertex,job_202102081239_1336,8,RoadCanada.vertex,InitializeSampleHD,5,0.01,0.2,8,1965206,5533214,5533214,33529,3147,28155,3324732.075992091,3775337,1.012,1.012,1.002,2600338,0.470,2600338,0.470,0.000001,0.000005,0.000005
Vertex,job_202102081239_1628,8,BerkeleyStan.vertex,InitializeSampleRD,15,0.015,0.2,16,685230,7600595,13298940,17336,4032,12678,1399666.5810186835,1094042,2.061,2.105,1.163,1666740,0.219,3067041,0.231,0.000652,0.025081,0.030566
Vertex,job_202102081239_1111,8,RoadCanada.vertex,InitializeSampleRD,15,0.01,0.2,8,1965206,5533214,5533214,31735,3895,27291,3326710.800398717,3719243,1.008,1.008,1.004,2593765,0.469,2593765,0.469,0.000001,0.000004,0.000004
Vertex,job_202102081239_0873,8,RoadItaly.vertex,InitializeSampleGD,0,0.02,0.1,16,6686493,7013978,14027956,413910,8439,400575,1.2438713883440632E7,25390652,1.008,1.008,1.008,2674147,0.381,5586424,0.398,0.000004,0.000004,0.000005
Vertex,job_202102081239_0291,8,LiveJournal.vertex,InitializeSampleRD,15,0.015,0.2,4,4847571,68993773,86220856,71938,11120,57937,9173876.440329948,8321381,1.219,1.258,1.048,14986158,0.217,18906480,0.219,0.000416,0.007182,0.008634
Vertex,job_202102081239_1158,8,RoadCanada.vertex,InitializeSampleRD,10,0.02,0.2,8,1965206,5533214,5533214,32036,3948,27534,3337911.156709587,3789296,1.006,1.006,1.002,2570164,0.464,2570164,0.464,0.000000,0.000002,0.000002
Vertex,job_202102081239_1358,8,RoadCanada.vertex,InitializeSampleHD,15,0.01,0.2,16,1965206,5533214,5533214,35870,2998,30470,2981689.286598415,2624971,1.004,1.004,1.006,3444480,0.623,3444480,0.623,0.000002,0.000002,0.000002
Vertex,job_202102081239_2641,8,RoadItaly.vertex,InitializeSampleHD,10,0.01,0.1,8,6686493,7013978,14027956,202686,6013,192207,1.1876460432160739E7,20129600,1.001,1.001,1.001,2924043,0.417,6008652,0.428,0.000000,0.000000,0.000000
Vertex,job_202102081239_1838,8,BerkeleyStan.vertex,InitializeSampleHD,15,0.01,0.2,4,685230,7600595,13298940,18112,9333,7086,1440895.8524524793,970503,1.291,1.383,1.017,704863,0.093,1221424,0.092,0.000020,0.005515,0.008733
Vertex,job_202102081239_1768,8,BerkeleyStan.vertex,InitializeSampleHD,5,0.015,0.15,8,685230,7600595,13298940,15448,3331,10324,1440076.3394968254,1049712,1.412,1.516,1.049,1012453,0.133,1786608,0.134,0.000515,0.012310,0.015213
Vertex,job_202102081239_0094,8,LiveJournal.vertex,InitializeSampleRD,10,0.01,0.1,8,4847571,68993773,86220856,99378,9126,88329,8950096.292071765,9301038,1.857,1.934,1.048,19655259,0.285,24769767,0.287,0.000259,0.021668,0.024450
