MODE,JOB_ID,WORKERS,FILE,ALGO,TAU,SIGMA,BETA,NUMPARTITIONS,VERTICES,REAL EDGES, VIRTUAL EDGES,Time,Sampling Time,Total LP,Score,Migrations,R MaxNorm unbalance,V MaxNorm unbalance,Vertex MaxNorm unbalance,#real EC,#real EC (%%),#virtual EC,#virtual EC (%%),Vertex Balance JSD,Real Edge Balance JSD,Virtual Edge Balance JSD
Vertex,job_202101261615_2275,8,BerkeleyStan.vertex,InitializeSampleGD,10,0.02,0.15,8,685230,7600595,13298940,15950,3804,10039,1456634.8896821619,1015136,1.578,1.629,1.049,890845,0.117,1551622,0.117,0.000381,0.014314,0.019356
Vertex,job_202101261615_1952,8,RoadCanada.vertex,InitializeSampleHD,10,0.02,0.15,16,1965206,5533214,5533214,34953,2651,30046,2981244.887193688,2651941,1.007,1.007,1.006,3441702,0.622,3441702,0.622,0.000001,0.000002,0.000002
Vertex,job_202101261615_2083,8,BerkeleyStan.vertex,InitializeSampleRD,5,0.02,0.1,8,685230,7600595,13298940,12339,2871,9034,1469494.4241014298,1003075,1.419,1.480,1.048,745169,0.098,1297877,0.098,0.000232,0.013959,0.017135
Vertex,job_202101261615_2294,8,BerkeleyStan.vertex,InitializeSampleGD,10,0.015,0.2,16,685230,7600595,13298940,25162,8499,15030,1420236.7013899186,1169674,1.775,1.980,1.050,1387389,0.183,2518030,0.189,0.000385,0.012711,0.021425
Vertex,job_202101261615_1991,8,RoadCanada.vertex,InitializeSampleGD,15,0.01,0.1,16,1965206,5533214,5533214,38065,4555,31280,3004218.5479081906,2717343,1.004,1.004,1.003,3397991,0.614,3397991,0.614,0.000001,0.000001,0.000001
Vertex,job_202101261615_2261,8,BerkeleyStan.vertex,InitializeSampleGD,15,0.01,0.15,16,685230,7600595,13298940,21068,4023,14946,1370053.3857525536,1117331,1.599,1.958,1.049,1974511,0.260,3622173,0.272,0.000394,0.010168,0.016784
Vertex,job_202101261615_2066,8,BerkeleyStan.vertex,InitializeSampleRD,5,0.01,0.1,16,685230,7600595,13298940,16489,3320,12811,1428045.953865754,1092204,1.961,1.945,1.186,1351247,0.178,2499769,0.188,0.000736,0.031019,0.031589
Vertex,job_202101261615_2177,8,BerkeleyStan.vertex,InitializeSampleHD,10,0.01,0.15,16,685230,7600595,13298940,18003,3522,12751,1464411.5853095627,1165890,2.077,2.122,1.187,1182149,0.156,2160700,0.162,0.000944,0.018590,0.023853
Vertex,job_202101261615_1746,8,Youtube.vertex,InitializeSampleGD,15,0.01,0.1,4,1134890,2987624,5975248,16023,3026,11152,1892343.0969053651,1859704,1.311,1.197,1.042,921588,0.308,1839580,0.308,0.000259,0.012021,0.006776
Vertex,job_202101261615_1895,8,RoadCanada.vertex,InitializeSampleRD,5,0.02,0.2,16,1965206,5533214,5533214,34298,3427,30231,2992947.6990985214,2643689,1.007,1.007,1.008,3421685,0.618,3421685,0.618,0.000002,0.000002,0.000002
